matrix_dim, etime, flops, cores
4096, 1.733034, 79305399358.581543, 1
4096, 1.610691, 85329186958.889084, 1
4096, 1.609597, 85387182923.427414, 1
4096, 1.646100, 83493684145.556168, 1
4096, 1.627175, 84464764682.348236, 1
4096, 1.541495, 89159519474.276596, 1
4096, 1.685647, 81534837051.885727, 1
4096, 1.541012, 89187464777.691544, 1
4096, 1.472525, 93335565421.300140, 1
4096, 1.628597, 84391014764.241852, 1
matrix_dim, etime, flops, cores
4096, 2.356226, 58330123456.748207, 1
4096, 3.402147, 40397711642.677406, 1
4096, 2.511854, 54716139342.493629, 1
4096, 2.439077, 56348755480.864273, 1
4096, 2.450559, 56084735552.990150, 1
4096, 2.404211, 57165928228.429199, 1
4096, 2.467989, 55688641023.926773, 1
4096, 6.544654, 21000186331.011539, 1
4096, 2.490658, 55181784681.798950, 1
4096, 3.791600, 36248273412.807259, 1
